Id,Word,Transcription,Definition,Example
2073,integrity,ɪnˈteɡrəti,Integrity is honesty and good morals.,The principal had a lot of integrity.
2074,outlook,ˈaʊtlʊk,An outlook is a person’s opinion or way of thinking about something.,He changed his outlook about rats after he read a book about them.
2075,parachute,ˈpærəʃuːt,A parachute is a device that helps people and things fall to the ground safely.,They used parachutes dropped from airplanes to send supplies to the civilians.
2076,prehistoric,ˌpriːhɪˈstɔːrɪk,"When something is prehistoric, it is from a time before written history.",The scientists found prehistoric pots used by the people in the area.
2077,proponent,prəˈpəʊnənt,A proponent is a person who supports an idea or a plan.,He was a proponent of using environmentally-friendly products.
2078,refine,rɪˈfaɪn,To refine something is to make it better by making changes.,The principal refined his method of controlling students over the years.
2079,restrict,rɪˈstrɪkt,To restrict something is to limit it and prevent it from getting bigger.,The club restricted the amount of members.
2080,team,tiːm,A team is a group of people who work closely together.,The All Blacks are my favorite sports team.
2081,aggregate,ˈæɡrɪɡət,"When something is aggregate, it is made up of smaller amounts added together.",The company totaled its aggregate sales for the entire year.
2082,antibiotic,ˌæntibaɪˈɑːtɪk,An antibiotic is a medical drug used to kill bacteria and treat infections.,The doctor gave me a shot of an antibiotic when I got the flu.
2083,circuit,ˈsɜːrkɪt,A circuit is a piece of an electronic device that allows electricity to flow.,Be very careful not to shock yourself when fixing an electrical circuit.
2084,complement,ˈkɑːmplɪment,To complement something or someone is to make them better.,The wool scarf complemented her lovely eyes.
2085,compress,kəmˈpres,To compress something means to press or squeeze it so that it takes up less space.,I compressed my clothes to fit into a single suitcase.
2086,database,ˈdɑːtəbeɪs,A database is a collection of data that is stored in a computer.,The company has a database of all the names and accounts of their customers.
2087,equivalent,ɪˈkwɪvələnt,An equivalent is an amount or value that is the same as another amount or value.,I worked the equivalent of sixty hours this week.
2088,immune,ɪˈmjuːn,"When someone is immune to a disease, they cannot be affected by it.",Children usually get shots to make them immune to certain diseases.
2089,input,ˈɪnpʊt,Input is information that is put into a computer.,Type the input into the computer program.
2090,intimate,ˈɪntɪmət,"When a relationship is intimate, the two things are very closely connected.",I only tell my secrets to my most intimate friends.
2091,magnet,ˈmæɡnət,A magnet is a piece of iron or other material which attracts iron toward it.,I used a magnet to pick up the nails that were scattered on the floor.
2092,metabolism,məˈtæbəlɪzəm,A person’s metabolism is the way chemical processes in their body use energy.,"If you exercise every day, your metabolism speeds up."
2093,microchip,ˈmaɪkrəʊtʃɪp,A microchip is a small device in a computer that holds information.,I can put more data on my computer if I buy a more powerful microchip.
2094,phase,feɪz,A phase is a stage in a process or the gradual development of something.,The first phase in the recycling project involves finding volunteers to help out.
2095,pinch,pɪntʃ,To pinch means to take a piece of skin between one’s fingers and squeeze.,I pinched my nose so I couldn’t smell the odor from the garbage.
2096,prevalent,ˈprevələnt,"When something is prevalent, it is common.",Growing a beard is more prevalent in some countries than in others.
2097,quantum,ˈkwɑːntəm,"When something is quantum, it relates to the behavior of atomic particles.",The physics student studied quantum mechanics.
2098,ratio,ˈreɪʃiəʊ,A ratio is a relationship between two things expressed in numbers or amounts.,The boy-to-girl ratio is one to three.
2099,spiral,ˈspaɪrəl,A spiral is a shape which winds round and round as if around a cylinder.,A strand of DNA looks like two interlocking spirals.
2100,viral,ˈvaɪrəl,"When something is viral, it is a disease or infection that is caused by a virus.",The girl was in bed for a week when she had a viral infection.
2101,acid,ˈæsɪd,An acid is a chemical that can burn or dissolve other substances.,"In chemistry class, we mixed two acids together and watched the reaction."
2102,administration,ədˌmɪnɪˈstreɪʃn,An administration is the group of people who manage a company or organization.,She hoped she could be promoted to a job in administration.
2103,administrative,ədˈmɪnɪstreɪtɪv,Administrative describes anything related to managing a company or organization.,I work as an administrative assistant to the owner of the company.
2104,biotechnology,ˌbaɪəʊtekˈnɑːlədʒi,"Biotechnology is the use of living parts, such as cells, in industry and technology.",Researchers at the biotechnology company use bacteria to make medicine.
2105,cholesterol,kəˈlestərɔːl,"Cholesterol is a substance in fat, tissues, and blood of all animals.","When people have too much cholesterol, they are at a high risk for heart problems."
2106,coalition,ˌkəʊəˈlɪʃn,A coalition is a group of people or organizations working for a common purpose.,The companies formed a coalition to make trade less expensive.
2107,deceptive,dɪˈseptɪv,"When something is deceptive, it encourages one to believe something that is false.",The scary-looking man’s appearance is deceptive; he is actually very nice.
2108,diabetes,ˌdaɪəˈbiːtiːz,Diabetes is a medical condition in which a person’s body cannot control the level of sugar in their blood.,Overweight people are more likely to suffer from diabetes than slimmer ones.
2109,eliminate,ɪˈlɪmɪneɪt,To eliminate something that is unwanted means to completely remove it.,Wearing a seatbelt eliminates some of the dangers of driving a car.
2110,erosion,ɪˈrəʊʒn,Erosion is the destruction of rock or soil due to flowing water or weather.,Canyons are formed because rivers of fast-moving water caused erosion.
2111,ethics,éɵiks,Ethics are moral beliefs or rules about right or wrong.,The act of stealing certainly doesn’t go against some people’s ethics.
2112,explicit,ɪkˈsplɪsɪt,"If something is explicit, it is very clear, open, and truthful.",The man gave a very explicit account of the car accident.
2113,framework,ˈfreɪmwɜːrk,A framework is a set of rules or ideas that people use to solve problems.,His ideas fit into the framework of a successful business plan.
2114,manufacture,ˌmænjuˈfæktʃər,To manufacture something means to make it in a factory.,My father’s company manufactures steel building materials.
2115,mechanism,ˈmekənɪzəm,A mechanism is a part of a machine that performs a certain function.,I can’t open my car door because the locking mechanism is broke.
2116,minimize,ˈmɪnɪmaɪz,To minimize means to reduce something to the lowest possible level.,I checked my homework twice to minimize errors I might have made.
2117,nectar,ˈnektər,Nectar is a sweet liquid produced by flowers that bees and other insects collect.,Bees use nectar to make their honey.
2118,notion,ˈnəʊʃn,A notion is an idea or belief about something.,I had a notion that this route would get us to the beach.
2119,regime,reɪˈʒiːm,A regime is a system of government or management.,He was a member of the old regime that had been overthrown in the election.
2120,straightforward,ˌstreɪtˈfɔːrwərd,"When something is straightforward, it is good because it is easy to understand.",The teacher’s grading system was straightforward and fair.
2121,bankrupt,ˈbæŋkrʌpt,"If someone is bankrupt, then they are unable to pay their debts.",The store had few customers and soon went bankrupt.
2122,conform,kənˈfɔːrm,To conform to rules or laws is to obey them.,The new student had to conform to the school’s dress code.
2123,employ,ɪmˈplɔɪ,To employ someone means to give work to them.,The bookstore employed two full-time clerks.
2124,expel,ɪkˈspel,To expel someone means to force them to leave a place.,"Since he would not follow the rules, the principal had to expel the student."
2125,extension,ɪkˈstenʃn,An extension is a part added to something to give it more time or space.,My parents decided to add an extension to our house for the new baby.
2126,forthcoming,ˌfɔːrθˈkʌmɪŋ,"If something is forthcoming, then it is about to happen in the future.",Some economists predicted that the forthcoming world economy would be severe.
2127,furnish,ˈfɜːrnɪʃ,To furnish means to put furniture in a house or room.,"Most homes are furnished with tables, chairs, and beds."
2128,hygiene,ˈhaɪdʒiːn,Hygiene is the conditions or methods needed for health and cleanliness.,People who brush their teeth at least twice a day are practicing good hygiene.
2129,hygienic,haɪˈdʒenɪk,"If something is hygienic, then it is clean and unlikely to cause disease.",My sister works very hard to keep her entire home as hygienic as possible.
2130,landlord,ˈlændlɔːrd,A landlord is a man who rents property to a person.,The landlord collected everyone’s rent money on the first day of every month.
2131,lease,liːs,"To lease means to rent property, usually an apartment or land.","When the family first leased the apartment, the rent was very low."
2132,mandatory,mænˈdeɪtəri,"If something is mandatory, then it is required by law.",It’s mandatory that everyone be at least 16 to drive a car in the US.
2133,mend,mend,To mend something means to fix it when it is broken or damaged.,Mother mended the rip in my pants with a piece of cloth.
2134,mortgage,ˈmɔːrɡɪdʒ,"A mortgage is a loan for property, especially a home or a business.","When they bought their new home, the married couple had to sign a mortgage."
2135,personnel,ˌpɜːrsəˈnel,Personnel are employees in a business.,"When business increased, we had to hire more personnel."
2136,plumbing,ˈplʌmɪŋ,Plumbing is the system of pipes used in a home to supply water.,"When the plumbing stopped working, no one was allowed to use the toilets."
2137,quote,kwəʊt,"A quote is what someone has said, including saying how much a piece of work will cost.",His writing was full of quotes from Shakespeare.
2138,tenant,ˈtenənt,A tenant is a person who rents property from a landlord.,The new tenants moved into the house across the street.
2139,utility,juːˈtɪləti,A utility is a business that supplies services such as water or electricity.,"If you don’t pay the utilities, you may have your electricity turned off."
2140,whereby,werˈbaɪ,Whereby means by which or through which.,The mayor had a new bridge built whereby the citizens could cross the river.
2141,adapt,əˈdæpt,To adapt means to change in order to deal with a new situation.,"When he went to the new town, he had to adapt to all the weather changes."
2142,biological,ˌbaɪəˈlɑːdʒɪkl,Biological describes the process of life and living things.,"In science class, we learned about the biological process of bacterial growth."
2143,cellular,ˈseljələr,"When something is cellular, it relates to the cells of animals or plants.",She used a microscope to see the activity at a cellular level.
2144,dynamic,daɪˈnæmɪk,"When people are dynamic, they are lively and have creative ideas.","The new, dynamic employee came up with a good way to juggle his workload."
2145,fantasy,ˈfæntəsi,A fantasy is a pleasant situation that people think about but is unlikely to happen.,Becoming an astronaut is a fantasy shared by many children.
2146,heredity,həˈredəti,Heredity is the process of passing on features from parents to children.,The boy’s face is similar to his father’s because of heredity.
2147,internal,ɪnˈtɜːrnl,"When something is internal, it exists or happens inside a person, object, or place.",We removed the outer case to reveal the computer’s internal wires.
2148,minimal,ˈmɪnɪml,"When something is minimal, it is very small.",My lazy husband does a minimal amount of work around the house.
2149,pioneer,ˌpaɪəˈnɪr,A pioneer is a person who is the first to discover or be involved in something.,He was a pioneer of computer programming.
2150,prescribe,prɪˈskraɪb,To prescribe medicine means to tell someone to take it.,"When I was sick, the doctor prescribed me flu medicine for me to take."
2151,respective,rɪˈspektɪv,"When things are respective, they relate separately to each person just mentioned.",The boxers were told to return to their respective corners.
2152,rigid,ˈrɪdʒɪd,"When rules or systems are rigid, they are severe because they cannot be changed.",Societies often have rigid rules about the way that people are supposed to act.
2153,sequence,ˈsiːkwəns,A sequence is a number of events or things that come one after another.,The dominos fell in a sequence of one after another.
2154,similar,ˈsɪmələr,Things which are similar are almost the same.,I have had a similar experience to the one you described.
2155,substitute,ˈsʌbstɪtuːt,To substitute something or someone means to have them take the place of another.,"When I ran out of juice, I had to substitute water to drink in the morning."
2156,surgeon,ˈsɜːrdʒən,A surgeon is a doctor who is trained to do surgery.,The surgeon operated on the old man’s heart.
2157,therapy,ˈθerəpi,Therapy is treatment for a particular physical or mental illness or condition.,"After she broke her legs, she used physical therapy to learn how to walk again."
2158,transfer,trænsˈfɜːr,To transfer something means to move it from one place to another.,The family transferred the groceries from the shopping cart to the car.
2159,transition,trænˈzɪʃn,A transition is a process where there is a change from one form to another.,The weather gets colder during the transition from summer to autumn.
2160,transplant,trænsˈplænt,A transplant is an operation in which a damaged part of one’s body is replaced.,The sick child needed a heart transplant to live.
2161,astrology,əˈstrɑːlədʒi,Astrology is the study of the stars in the belief that they influence people’s lives.,"Jack, who studies astrology, believes that the stars can predict the future."
2162,couple,ˈkʌpl,A couple is made of two things that go together.,There were a couple of problems I had to solve.
2163,deviate,ˈdiːvieɪt,To deviate is to move away from your proper course.,Very few deviate much from the average.
2164,differentiate,ˌdɪfəˈrenʃieɪt,To differentiate things or people is to show the difference between them.,It was hard to differentiate between the identical twins.
2165,disrupt,dɪsˈrʌpt,To disrupt something or someone is to prevent them from working.,The loud crash disrupted the class lecture.
2166,equation,ɪˈkweɪʒn,An equation is a math operation to determine the value of something.,I used the Pythagorean theorem to solve the equation.
2167,err,er,To err means to make a mistake.,The pilot erred in his estimate of the time it would take to make the trip.
2168,erroneous,ɪˈrəʊniəs,"When something is erroneous, it is incorrect or only partly correct.",The child held the erroneous belief that time machines were real.
2169,frantic,ˈfræntɪk,"If people or things are frantic, they behave in a wild way because they are frightened.",The cat became frantic when I tried to give it a bath.
2170,inadvertent,ˌɪnədˈvɜːrtnt,"When an action is inadvertent, it is done without realizing what you are doing.",She made an inadvertent error when she knocked over the nail polish.
2171,improvise,ˈɪmprəvaɪz,To improvise something is to do it with whatever is available or without planning.,"There was no meat for the pizza, so we improvised with what was in the fridge."
2172,latitude,ˈlætɪtuːd,The latitude of a place is its distance from the equator.,The device was able to tell the traveler his exact latitude.
2173,mariner,ˈmærɪnər,A mariner is a sailor.,The old mariner used his telescope to find the shore.
2174,multitude,ˈmʌltɪtuːd,A multitude of things or people is a very large number of them.,A multitude of people were waiting at the airport.
2175,nuisance,ˈnuːsns,A nuisance is a person or thing that is annoying or causes a lot of problems.,The teenager considered her noisy little brothers to be quite a nuisance.
2176,permanence,ˈpɜːrmənəns,The permanence of something is its ability to last forever.,Poor results threaten the permanence of the new system.
2177,revolve,rɪˈvɑːlv,To revolve around something is to keep it as the main feature or focus.,My life revolves around sports.
2178,soothe,suːð,To soothe means to calm someone who is angry or upset.,The mother soothed her crying baby by rocking him in her arms.
2179,stranded,strǽndid,"If someone is stranded, they are prevented from leaving a place.","When the plane left, my sister and I were stranded in China."
2180,technique,tekˈniːk,A technique is a way of doing something.,There are a lot of teaching techniques that are well supported by research.
2181,absurd,əbˈsɜːrd,"If something or someone is absurd, they are ridiculous.",That group of people making animal noises sounds completely absurd.
2182,aristocracy,ˌærɪˈstɑːkrəsi,The aristocracy is the highest class of people in certain societies.,Most members of the aristocracy were very well fed.
2183,aristocrat,əˈrɪstəkræt,An aristocrat is a person who is of the highest class in certain societies.,The aristocrat did not need a job because his family was wealthy.
2184,attire,əˈtaɪər,Attire is nice or special clothing.,Everyone wore their best attire to the president’s daughter’s wedding.
2185,craze,kreɪz,A craze is a brief and popular activity or object.,Wearing bright red socks was a craze when I was in high school.
2186,denote,dɪˈnəʊt,"When one thing denotes another, it stands as a sign or substitute for that thing.",Quotation marks are used to denote speech.
2187,enlarge,ɪnˈlɑːrdʒ,To enlarge something means to make it bigger.,The classrooms were enlarged over the summer to make room for more students.
2188,excess,ɪkˈses,An excess is an amount of something that is more than needed or wanted.,"Because it never got cold that winter, many stores had an excess of coats."
2189,feminine,ˈfemənɪn,"If something is feminine, then it has qualities that are commonly related to women.",Many of the older people thought his long hair made him look too feminine.
2190,hierarchy,ˈhaɪərɑːrki,A hierarchy is a system of things or people ranked one above the other.,Everyone knows where they fit in the hierarchy.
2191,pad,pæd,A pad is a thick piece of soft material used to protect or clean things.,Football players wear shoulder pads to keep them safe.
2192,partner,ˈpɑːrtnər,Your partner is someone who lives or works with you as an equal.,"Ladies and gentlemen, take your partners for the next dance."
2193,predominant,prɪˈdɑːmɪnənt,"If something is predominant, then it is the most important, common, or strongest.","Before cars were invented, horses were the predominant method of travel."
2194,protocol,ˈprəʊtəkɑːl,Protocol is a system of rules and customs that guides how things are done.,The introduction of the guests followed the normal protocol.
2195,reputable,ˈrepjətəbl,"If someone or something is reputable, then they have a good reputation.",The service from the less-than-reputable company made her angry.
2196,signify,ˈsɪɡnɪfaɪ,To signify means to be a symbol of something.,A red octagon is used to signify a place to stop.
2197,strap,stræp,"A strap is a thin long piece of fabric used to fasten, carry, or hold something.",She put the strap of her purse over her shoulder and walked out the door.
2198,style,staɪl,Your style is the way you do things.,Her clothes were all in the latest style.
2199,tangle,ˈtæŋɡl,A tangle is something or many things twisted together.,The laces of his shoes were in such a tangle that he could not untie them.
2200,vanity,ˈvænəti,Vanity is excessive pride or love of one’s own appearance or things one has done.,Her vanity won’t allow her to pass a mirror without looking at herself.
2201,ashore,əˈʃɔːr,"If something goes ashore, it goes from the water to the land.","After a long day of fishing, Glen pulled his boat ashore, so it wouldn’t float away."
2202,contradict,ˌkɑːntrəˈdɪkt,To contradict means to state the opposite of what someone else has said.,Ken was always fighting with his little sister because she kept contradicting him.
2203,counterpart,ˈkaʊntərpɑːrt,A counterpart is something that is very similar to something else in what it does.,Our manager will meet our rival company’s counterpart later today.
2204,devoid,dɪˈvɔɪd,"When something or someone is devoid of a thing, they are missing it.","The movie was devoid of any violence, so it was a perfect movie for the family."
2205,diverge,daɪˈvɜːrdʒ,To diverge is to become different or to follow a different direction.,The road diverged into two paths that led to our houses.
2206,embryo,ˈembriəʊ,An embryo is a human or animal that is still growing inside its mother.,Some doctors say that what a mother eats has a big effect on her embryo.
2207,finally,ˈfaɪnəli,"When something finally happens, it happens at the end of a series of events.",We finally reached our destination.
2208,gazette,ɡəˈzet,A gazette is a newspaper.,Alice wants to write for a gazette when she’s older.
2209,homogeneous,ˌhəʊməˈdʒiːniəs,"If something is homogeneous, it is made up of things which are all the same.",All of the houses on Victor’s block were boring and homogenous.
2210,individual,ˌɪndɪˈvɪdʒuəl,An individual is a single member of a group.,Each individual is responsible for themselves.
2211,major,ˈmeɪdʒər,A major event is a very important event.,There had been a major shift in government policy.
2212,obstruct,əbˈstrʌkt,To obstruct something means to get in its way.,The car broke down on the road and obstructed traffic for hours.
2213,plunge,plʌndʒ,To plunge means to move down into something very quickly.,"The water in the pool was very cold, but the boy plunged in anyway."
2214,prolong,prəˈlɔːŋ,To prolong means to make something last for a longer time.,"Sandy walked slowly across the beach, trying to prolong her lunch break."
2215,publicize,ˈpʌblɪsaɪz,To publicize is to make something get a lot of attention.,The company publicized the job positions in the newspaper.
2216,surplus,ˈsɜːrplʌs,A surplus is an extra amount of something.,The store sold their surplus items on sale.
2217,survive,sərˈvaɪv,"When something survives, it manages to continue to live in spite of difficult circumstances.",She survived a heart attack.
2218,theorize,ˈθiːəraɪz,To theorize means to develop ideas about something.,They enjoyed theorizing about how things worked.
2219,verify,ˈverɪfaɪ,To verify means to find out if something is true.,Julian called the movie theater to verify that the movie started at nine.
2220,vigorous,ˈvɪɡərəs,"If something or someone is vigorous, they use a lot of energy.",Henry uses vigorous exercise to keep himself in shape.
2221,altar,ˈɔːltər,An altar is a table used in churches.,The altar had many lit candles on it.
2222,arthritis,ɑːrˈθraɪtɪs,Arthritis is an illness causing pain and swelling in a person’s joints.,Agatha couldn’t play the piano anymore because of her arthritis.
2223,botany,ˈbɑːtəni,Botany is the study of plants.,Gardens are the best places for botany.
2224,credible,ˈkredəbl,"If something or someone is credible, they can be believed or trusted.",Dick gave a credible reason for being late and didn’t get in any trouble.
2225,deceased,dɪˈsiːst,"If someone is deceased, they are dead.",We visited the graves of our deceased grandparents.
2226,deception,dɪˈsepʃn,Deception is the act of lying or tricking someone.,"The magic looked very real, but it was only deception."
2227,document,ˈdɑːkjumənt,"A document is a written text, usually not in the form of a book.",Please scan this document so we have an electronic copy.
2228,dung,dʌŋ,Dung is solid waste material produced by animals.,There was cow dung all over the field.
2229,dusk,dʌsk,Dusk is the time in the evening when it begins to get dark.,"After dusk, Hannah went to catch fireflies in the park."
2230,gratify,ˈɡrætɪfaɪ,To gratify someone means to please them.,Bonnie was gratified after receiving her gift from her parents.
2231,hone,həʊn,To hone something is to improve it and make it very good.,Lisa honed her chess skills through hours and hours of practice.
2232,interpret,ɪnˈtɜːrprət,"When you interpret something, you find its meaning, often by changing it into a different language.",It is difficult to interpret while someone is speaking.
2233,motive,ˈməʊtɪv,Your motive is your reason for doing something.,"We can show he had a motive to commit the crime, but we cannot show he did it."
2234,pneumonia,nuːˈməʊniə,Pneumonia is a dangerous illness causing the lungs to fill with liquid.,Elaine got pneumonia after playing outside in the rain without a coat.
2235,psychic,ˈsaɪkɪk,"When someone is psychic, they know what will happen or what people think.",I think my grandmother has psychic abilities because she can predict anything.
2236,psychotic,saɪˈkɑːtɪk,"If someone is psychotic, they have a very serious mental illness.",The psychotic patient believed he saw things that weren’t real.
2237,scope,skəʊp,The scope of something is how many people or things it relates to.,Modern history has a wide scope.
2238,sinister,ˈsɪnɪstər,"If something or someone is sinister, they are evil.",Bad guys in most movies have sinister laughs.
2239,strife,straɪf,Strife is disagreement or fighting between people or groups.,There was a lot of strife between Jim and Lisa about what TV show to watch.
2240,text,tekst,Text is language used in communicating messages.,Spoken text has many features which are different from written text.
2241,artery,ˈɑːrtəri,An artery is a tube that takes blood from the heart to the rest of the body.,Eating healthily keeps your arteries clean so blood can flow with ease.
2242,deterioration,dɪˌtɪriəˈreɪʃn,Deterioration is the act of becoming worse.,The lack of care led to the deterioration of the house.
2243,elusive,ɪˈluːsɪv,"If things or people are elusive, they are hard to find.",The elusive fish only came out at night.
2244,ensure,ɪnˈʃɔː(r),"When you ensure something, you make sure it happens.",Saving now will ensure we have enough money for our retirement.
2245,induce,ɪnˈduːs,To induce something means to make it happen.,Running without good shoes may induce leg pain.
2246,inseparable,ɪnˈseprəbl,"If two things are inseparable, they can’t be separated.",Denise and Diana have been inseparable since they first met.
2247,invalid,ɪnˈvælɪd,"If something is invalid, it is not correct.",The way to winning debates is to avoid invalid arguments.
2248,magnify,ˈmæɡnɪfaɪ,To magnify something means to make it look bigger than it really is.,Astronomers use telescopes to magnify faraway stars.
2249,mainstream,ˈmeɪnstriːm,The mainstream is what is considered normal and accepted by most people.,"Before punk rock music became part of the mainstream, only a few people liked it."
2250,microbe,ˈmaɪkrəʊb,A microbe is a very small living thing that often makes people sick.,The first step in curing a disease is finding the microbe that causes it.
2251,minor,ˈmaɪnər,A minor problem is a very small and unimportant problem.,This is a minor problem.
2252,negligible,ˈneɡlɪdʒəbl,"If something is negligible, it is extremely small and not important.",The amount she owed was negligible. It was less than ten cents.
2253,paralysis,pəˈræləsɪs,Paralysis is the loss of the ability to move all or part of your body.,His paralysis meant that he had to use a wheelchair to get around.
2254,pest,pest,A pest is an animal or insect that hurts plants or food.,Many farmers put up scarecrows to keep pests of their corn.
2255,prevail,prɪˈveɪl,To prevail means to be accepted or very common.,"Unfortunately, injustice still prevails in the country’s court system."
2256,pursuit,pərˈsuːt,"When you are in pursuit of something, you are chasing it.",The pursuit of happiness is a basic human right.
2257,rupture,ˈrʌptʃər,To rupture means to tear or burst open.,"Sarah put too much water into the balloon, and it ruptured."
2258,savage,ˈsævɪdʒ,"If things or people are savage, they are very violent or cruel.",Wild animals are very savage when defending their babies.
2259,stun,stʌn,To stun someone means to make them unable to speak due to surprise or shock.,Tim fell of the swing and was too stunned to cry.
2260,susceptible,səˈseptəbl,"If one is susceptible to something like a disease, they are easily harmed by it.",Not eating enough vegetables makes you more susceptible to getting sick.
2261,advocate,ˈædvəkət,To advocate a plan or idea is to support or suggest it in public.,The group advocated increased spending on education and schools.
2262,albeit,ˌɔːlˈbiːɪt,"Albeit means although. (It is made of three parts – al(though), be, it.","She was happy, albeit briefly."
2263,authorize,ˈɔːθəraɪz,To authorize something means to give permission for it.,The mayor authorized the construction of a new statue in the park.
2264,civilian,səˈvɪliən,A civilian is someone who is not in the military.,It was Todd’s job to keep civilians from entering the army facility.
2265,commodity,kəˈmɑːdəti,A commodity is something that can be bought or sold.,Fran’s uncle made most of his money trading commodities.
2266,communicate,kəˈmjuːnɪkeɪt,"When we communicate with others, we talk or write to them.",He was unable to communicate his feelings clearly.
2267,conquest,ˈkɑːŋkwest,A conquest is an event by which one country takes over another country.,"After the conquest, the people of the small city had no freedom."
2268,disclose,dɪsˈkləʊz,To disclose something means to tell it to someone else.,"John came home late, so he had to disclose his activities to his wife."
2269,dynamics,dainǽmiks,The dynamics of a situation are the way that parts of it affect each other.,A good psychologist needs to know a lot about the dynamics of brain disorders.
2270,enroll,enróul,To enroll in something is to put one’s name on a list as a member of a group.,The students had to enroll in the class one semester in advance.
2271,envious,ˈenviəs,"When someone is envious, they want something that another person has.",They were envious of their neighbor’s front yard.
2272,festive,ˈfestɪv,"When something is festive, it is happy and related to a party or celebration.",Dean’s favorite part of Christmas is the festive clothing that people wear.
2273,indicate,ˈɪndɪkeɪt,"When we indicate something, we show or point out our thoughts or plans.",They indicated that things would be likely to improve soon.
2274,lentil,ˈlentl,Lentils are very small beans that people cook and eat.,Danni made her special soup with lentils when her husband was sick.
2275,marshal,ˈmɑːrʃl,To marshal a group means to assemble them in order.,The students were marshaled outside and put into groups.
2276,morale,məˈræl,Morale is the amount of hope that people have during a difficult situation.,"To improve our family’s morale, mom suggested going on a picnic."
2277,mood,muːd,Your mood is the way you are feeling.,My boss is in a really bad mood today.
2278,prophecy,ˈprɑːfəsi,A prophecy is a prediction about what will happen in the future.,Some people believe that prophecies are actually true.
2279,senate,ˈsenət,A senate is a part of the government in some countries.,Everybody liked Caroline and chose her to speak for them in the senate.
2280,unrest,ʌnˈrest,Unrest is a state of anger about something among the people in a place.,High taxes caused much of the unrest that led to the Revolutionary War.
2281,certify,ˈsɜːrtɪfaɪ,To certify something means to confirm that its results are true.,The photograph on her passport certified that she was indeed Jolene Sawyer.
2282,coherent,kəʊˈhɪrənt,The parts of a coherent plan fit well together.,This was a coherent program for solving the flooding problem.
2283,collaborate,kəˈlæbəreɪt,To collaborate means to work together on something.,"When they collaborated, they managed to finish their chores early."
2284,compile,kəmˈpaɪl,To compile things means to collect a variety of them into a group.,She compiled a list of people who she wanted to attend her birthday party.
2285,curb,kɜːrb,To curb something means to prevent it from happening or increasing.,She curbed her anger by listening to a relaxing song.
2286,diagnose,ˌdaɪəɡˈnəʊz,To diagnose someone means to identify the medical condition they have.,Several of the children were diagnosed with the flu.
2287,enact,ɪˈnækt,To enact something means to make it into a law.,The council enacted a law that would only allow buses to drive downtown.
2288,federation,ˌfedəˈreɪʃn,A federation is a group of states or businesses working for a common cause.,"The United Nations is a federation designed to prevent war, disease, and famine."
2289,gross,ɡrəʊs,"If something is gross, then it is disgusting.",The food was so gross that the dog couldn’t eat it without feeling sick.
2290,humane,hjuːˈmeɪn,"If something is humane, then it is good and kind.",Helping build homes for poor people is very humane.
2291,needy,ˈniːdi,"If someone is needy, they are very poor.","After he lost his job, he became very needy."
2292,onset,ˈɑːnset,The onset of something unpleasant is the beginning of it.,"At the onset of the battle, the enemy wasn’t prepared for such a large attack."
2293,pledge,pledʒ,To pledge means to make a promise to do something.,Her mother pledged that she would find her daughter’s lost kitten.
2294,prohibit,prəˈhɪbɪt,To prohibit something means to not allow it.,She prohibited the students from speaking until their work was done.
2295,render,ˈrendər,To render something means to make it become something else.,His report was rendered unimportant by the release of new information.
2296,smallpox,ˈsmɔːlpɑːks,Smallpox is a disease that causes tiny bumps on the skin and high fevers.,"When she saw the tiny bumps, she thought her son might have smallpox."
2297,transform,trænsˈfɔːrm,To transform something is to change it in a very significant way.,The education system has been completely transformed.
2298,transmit,trænzˈmɪt,To transmit something means to pass it from one person or place to another.,The radio tower transmits a signal to all the radios in a 20-kilometer radius.
2299,vow,vaʊ,To vow means to make a promise to do something.,"Before they are allowed to work, all senators must vow to never accept bribes."
2300,widespread,ˈwaɪdspred,Something that is widespread is spread widely across the world.,It is a widespread belief that colds are caused by cold weather.
2301,adhere,ədˈhɪr,To adhere means to act in the way that a rule or agreement says is right.,"If the new employees wish to succeed, they must adhere to the boss’s rules."
2302,administer,ədˈmɪnɪstər,To administer means to take responsibility for organizing something.,The teacher’s assistant will administer the test.
2303,compassionate,kəmˈpæʃənət,"When people are compassionate, they feel pity and sympathy for others.",The compassionate nurse tried to make the sick man feel comfortable.
2304,contaminate,kənˈtæmɪneɪt,To contaminate something means to put dirty or harmful chemicals into it.,The lake was contaminated when pollutants entered the water.
2305,deficiency,dɪˈfɪʃnsi,"A deficiency is a lack of something, especially something that is needed.",Your snack has a deficiency of any real nutrients.
2306,emphasis,ˈemfəsɪs,"When you put an emphasis on prevention, you give special attention to prevention.",The government placed a strong emphasis on educational reform.
2307,epidemic,ˌepɪˈdemɪk,An epidemic is an outbreak of a disease that spreads quickly.,It was difficult to stop the flu epidemic.
2308,hazard,ˈhæzərd,A hazard is something that could be dangerous to a person’s health or safety.,Smoking cigarettes poses many health hazards.
2309,imperative,ɪmˈperətɪv,"When something is imperative, it is extremely important and must be done.",It was imperative for him to find a job.
2310,intestines,intéstinz,Intestines are tubes through which food passes after it leaves the stomach.,Whatever you eat goes into your intestines.
2311,manifest,ˈmænɪfest,To manifest means to make something visible or obvious.,The joy of the holiday season manifested as bright smiles on the faces of the children.
2312,overcrowded,ˌəʊvərˈkraʊdɪd,"When a place is overcrowded, it has too many people or things in it.",The lobby was overcrowded with people.
